Round,Player,Team,Age,POS1,POS2,Price,Priced at,PTS,MP,AVG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,,Total base,,Base exceeds price premium
1,D. Saifiti,DOL,,MID,,448000,33.19,42,52,42,,,,,,,,24,6,-4,,4,-2,,,16,,,-2,,,,,,,44,,10.810000000000002
1,J. Averillo,DOL,,CTR,,457000,33.85,40,80,40,,,,,,,,19,10,,,,,,,11,,,,,,,,,,40,,6.149999999999999
1,K. Finefeuiaki,DOL,,EDG,,400000,29.63,39,54,39,,,,,,,,23,10,-4,,,-2,,,12,,,,,,,,,,39,,9.370000000000001
1,S. O'Sullivan,DOL,,HLF,,450000,33.33,38,80,38,,,,,,,,30,,-2,,,-2,,,3,9,,,,,,,,,38,,4.670000000000002
1,K. Donoghoe,DOL,,HLF,,250000,18.52,38,42,38,,,,,,,,30,2,,,,-2,,,8,,,,,,,,,,38,,19.48
1,P. Mamouzelos,SOU,,HOK,,319000,23.63,35,72,35,,,,,,,,45,,-8,,,,,,1,,,-2,,,,-1,,,38,,14.370000000000001
1,S. Havili,SOU,,HOK,MID,342000,25.33,34,30,34,,,,,,,,22,2,,,4,,,,6,,,,,,,,,,34,,8.670000000000002
1,L. Hubner,SOU,,MID,,250000,18.52,34,59,34,,,,,,,,33,2,-10,,,-2,4,,9,,,-2,,,,,,,32,,13.48
1,C. Graham,SOU,,CTR,,580000,42.96,34,80,34,,,,,,,,5,,-8,,12,,4,,20,,1,,,,,,,,30,,-12.96
1,J. Wighton,SOU,,HLF,CTR,550000,40.74,32,80,32,,,,,5,,2,19,2,-4,,,,,,11,,1,-4,,,,,,,31.5,,-9.240000000000002
1,J. Kerr,DOL,,EDG,,403000,29.85,32,29,32,,,,,,,,17,2,-2,,4,-2,,,13,,,,,,,,,,32,,2.1499999999999986
1,I. Tass,SOU,,CTR,WFB,325000,24.07,31,80,31,8,,,,,4,,2,2,,,,,,,11,,2,,,,,,2,,19,,-5.07
1,C. Walker,SOU,,HLF,,515000,38.15,30,80,30,,,,,,,,23,,-10,,4,-2,4,,7,4,,,,,,,,,26,,-12.149999999999999
1,R. Stone,DOL,,MID,,422000,31.26,30,26,30,,,,,,,,30,,-2,,,,,,2,,,,,,,,,,30,,-1.2600000000000016
1,T. Munro,SOU,,WFB,,300000,22.22,30,41,30,16,,,,,4,,1,2,,,,,,,6,,1,,,,,,,,10,,-12.219999999999999
1,F. Kaufusi,DOL,,MID,EDG,439000,32.52,28,45,28,,,,,,,,29,2,-6,,,,,,5,,,-2,,,,,,,30,,-2.520000000000003
1,S. Keppie,SOU,,MID,,390000,28.89,28,48,28,,,,,,,,26,,-4,,,,,,9,,,-2,,,,-1,,,31,,2.1099999999999994
1,J. Tupou,DOL,,WFB,,362000,26.81,21,80,21,,,,,,4,,3,6,,,,-8,,,16,,,,,,,,,,17,,-9.809999999999999
1,T. Tatola,SOU,,MID,,475000,35.19,19,25,19,,,,,,,,20,,-4,,,,,,3,,,,,,,,,,19,,-16.189999999999998
1,D. Moale,SOU,,MID,,432000,32.00,15,29,15,,,,,,,,15,,-6,,,,,,6,,,,,,,,,,15,,-17
1,C. Lemuelu,DOL,,EDG,,503000,37.26,10,26,10,,,,,,,,11,,-4,,,,,,3,,,,,,,,,,10,,-27.259999999999998
1,J. Sullivan,SOU,,HLF,,500000,37.04,2,40,2,,,,,,,,8,,-8,,,,,,2,,,,,,,,,,2,,-35.04
1,C. Tuipulotu,SGI,,WFB,,418000,30.96,74,80,74,24,,,,,12,,3,18,,2,,-2,,,17,,,,,,,,,,38,,7.039999999999999
1,V. Holmes,SGI,,CTR,,652000,48.30,66,80,66,,5,4,,15,4,6,14,4,,2,4,-2,,,10,,,,,,,,,,36,,-12.299999999999997
1,S. Tupouniua,CBY,,MID,EDG,400000,29.63,66,42,66,16,,,,,8,,15,10,-2,2,,,,,17,,,,,,,,,,42,,12.370000000000001
