Player,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG
S. Cobbo
BRI v SOU | WFB, CTR
$635K  |  -$80k ( -$73k ), -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,, -$73k ,45,49,,,,,,5,,2,4,8,-6,,8,-2,4,,19,,1,,,,2,,
J. McLean
NQL v NEW | MID
$418K  |  -$89k ( -$92k ), -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,, -$92k ,43,32.2,,,,,,,,,31,2,-4,,,,,,14,,,,,,,,
K. Pearce-Paul
NEW @ NQL | EDG
$547K  |  $27k ( $30k ), $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,, $30k ,40,44.6,,,,,,,,,28,2,,,,,4,,10,,,-4,,,,,
K. Ponga
NEW @ NQL | WFB
$755K  |  -$2k ( $19k ), $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2, $19k ,39,54,,,,8,,,4,,4,,,2,4,-6,,,15,3,3,,,,,,2
K. Finefeuiaki
NQL v NEW | EDG
$324K  |  $52k ( $52k ), $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,, $52k ,38,29.4,,,,,,,,,21,4,,2,,-2,4,,11,,,-2,,,,,
V. Holmes
NQL v NEW | CTR
$651K  |  $14k ( -$11k ), -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,, -$11k ,37,48.8,,,,4,,5,,2,15,6,-4,,4,-8,,,12,,1,,,,,,
J. Saifiti
NEW @ NQL | MID
