Player,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG,name,points_last_round,avg_points,TOG,T,TS,G,FG,TA,LB,LBA,TCK,TB,MT,OFG,OFH,ER,TO,FTF,MG,KM,KD,PC,SB,SO,FDO,SAI,EFIG
L. Mitchell
SOU @ MAN | WFB
J. Jolliffe
GLD v SGI | MID
$550K  |  $14k ( $14k ), $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,, $14k ,19,44.1,,,,,,,,,19,,,,,,,,,,,,,,,,
K. Kini
GLD v SGI | WFB
$651K  |  $372k ( $372k ), $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,, $372k ,18,47.7,,,,,,,,,4,4,-2,,4,-2,,,9,,1,,,,,,
M. Ravalawa
SGI @ GLD | WFB
$385K  |  -$129k ( -$129k ), -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,, -$129k ,15,28,,,,,,,,,3,4,-4,,,-4,,,8,,8,,,,,,
V. Fifita
SGI @ GLD | MID
$230K  |  - ( - ), - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,, - ,13,11,,,,,,,,,9,,,,,,,,4,,,,,,,,
B. Murdoch-Masila
SGI @ GLD | MID, EDG
$231K  |  -$122k ( -$122k ), -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,, -$122k ,9,17.8,,,,,,,,,5,,,,,,,,4,,,,,,,,
C. Muhleisen
SGI @ GLD | HOK
$324K  |  $74k ( $74k ), $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,, $74k ,3,27.4,,,,,,,,,7,,-4,,,,,,,,,,,,,,
V. Holmes
NQL @ DOL | CTR
$651K  |  $14k ( $14k ), $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,, $14k ,67,48.8,,,,14,,5,,4,10,6,-2,,12,,,,18,,,,,,,,
Z. Laybutt
NQL @ DOL | CTR
